Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,89.27%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr,Number of reads,"44,792,986"
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr,Q30 RNA read,92.7%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr,Q30 UMI,96.3%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr,Q30 barcodes,96.4%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr (2),Number of reads,"46,059,973"
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr (2),Q30 RNA read,93.4%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr (2),Q30 UMI,96.8%
Library,VDJ T,Fastq ID,mLuLpVxi_v0fLyotc_tcr (2),Q30 barcodes,96.9%
Library,VDJ T,Physical library ID,VDJT_1,Estimated number of cells,304
Library,VDJ T,Physical library ID,VDJT_1,Fraction reads in cells,19.63%
Library,VDJ T,Physical library ID,VDJT_1,Mean reads per cell,"298,858"
Library,VDJ T,Physical library ID,VDJT_1,Mean used reads per cell,"30,473"
Library,VDJ T,Physical library ID,VDJT_1,Number of reads,"90,852,959"
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRA,13.78%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRB,18.73%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to any V(D)J gene,33.02%
Library,VDJ T,Physical library ID,VDJT_1,Valid barcodes,75.82%
Sample,Antibody Capture,,,Antibody reads usable per cell,"1,792"
Sample,Antibody Capture,,,Cells,"2,649"
Sample,Antibody Capture,,,Median UMI counts per cell,813
Sample,Gene Expression,,,Cells,"2,649"
Sample,Gene Expression,,,Confidently mapped antisense,10.83%
Sample,Gene Expression,,,Confidently mapped to exonic regions,61.12%
Sample,Gene Expression,,,Confidently mapped to genome,86.27%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,12.81%
Sample,Gene Expression,,,Confidently mapped to intronic regions,12.33%
Sample,Gene Expression,,,Confidently mapped to transcriptome,48.56%
Sample,Gene Expression,,,Mapped to genome,94.76%
Sample,Gene Expression,,,Median UMI counts per cell,"2,214"
Sample,Gene Expression,,,Median genes per cell,983
Sample,Gene Expression,,,Median reads per cell,"28,185"
Sample,Gene Expression,,,Number of reads assigned to the sample,"119,138,682"
Sample,Gene Expression,,,Total genes detected,"18,500"
Sample,VDJ B,,,Cells with productive IGH contig,89.50%
Sample,VDJ B,,,Cells with productive IGK contig,45.96%
Sample,VDJ B,,,Cells with productive IGL contig,55.43%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",39.72%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",51.17%
Sample,VDJ B,,,Cells with productive V-J spanning pair,86.20%
Sample,VDJ B,,,Estimated number of cells,"1,362"
Sample,VDJ B,,,Median IGH UMIs per Cell,23
Sample,VDJ B,,,Median IGK UMIs per Cell,65
Sample,VDJ B,,,Median IGL UMIs per Cell,63
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,"1,174"
Sample,VDJ B,,,Paired clonotype diversity,892.71
Sample,VDJ T,,,Cells with productive TRA contig,89.14%
Sample,VDJ T,,,Cells with productive TRB contig,97.70%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",86.84%
Sample,VDJ T,,,Cells with productive V-J spanning pair,86.84%
Sample,VDJ T,,,Estimated number of cells,304
Sample,VDJ T,,,Median TRA UMIs per Cell,10
Sample,VDJ T,,,Median TRB UMIs per Cell,25
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,264
Sample,VDJ T,,,Paired clonotype diversity,285.23
