Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Sample,VDJ B,,,Cells with productive IGL contig,35.25%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",32.00%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",34.23%
Sample,VDJ B,,,Cells with productive V-J spanning pair,66.05%
Sample,VDJ B,,,Estimated number of cells,"1,078"
Sample,VDJ B,,,Median IGH UMIs per Cell,15
Sample,VDJ B,,,Median IGK UMIs per Cell,24
Sample,VDJ B,,,Median IGL UMIs per Cell,15
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,712
Sample,VDJ B,,,Paired clonotype diversity,"1,001.80"
Sample,VDJ T,,,Cells with productive TRA contig,75.86%
Sample,VDJ T,,,Cells with productive TRB contig,98.62%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",74.48%
Sample,VDJ T,,,Cells with productive V-J spanning pair,74.48%
Sample,VDJ T,,,Estimated number of cells,290
Sample,VDJ T,,,Median TRA UMIs per Cell,7
Sample,VDJ T,,,Median TRB UMIs per Cell,24
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,216
Sample,VDJ T,,,Paired clonotype diversity,271.29
